Species,ID
KspES,KspESP_ESP03
KspES,KspESP_ESP05
KspES,KspESP_ESP07
KspES,KspESP_ESP14
KherSOUTH,Kher_ESP15
KherSOUTH,Kher_ESP16
KspES,KspESP_ESP17
Koce,Koce_GUA04
Koce,Koce_GUA05
Koce,Koce_GUA06
Koce,Koce_GUA10
Koce,Koce_GUA11
Koce,Koce_GUA13
Koce,Koce_GUA16
Koce,Koce_GUA18
Koce,Koce_GUA19
KherSOUTH,Kher_GUA27
KherSOUTH,Kher_GUA28
KherSOUTH,Kher_GUA29
KherSOUTH,Kher_GUA30
KherSOUTH,Kher_GUA31
KherSOUTH,Kher_GUA37
KherSOUTH,Kher_GUA39
KherSOUTH,Kher_GUA40
KherSOUTH,Kher_GUA41
KherSOUTH,Kher_GUA43
KherSOUTH,Kher_GUA44
